animal_breed;offence;infringment_date;suburb_name
Saluki;Dog at Large;2023-06;RAPID CREEK
Heeler;No Licence to Keep Dogs as Required;2023-01;NT  0000
Mixed Breed;Unregistered Dog;2023-02;MALAK
Mixed Breed;Unregistered Dog;2023-02;STUART PARK
Heeler;No Licence to Keep Dogs as Required;2023-02;WAGAMAN
Pit Bull Terrier;Unregistered Dog;2023-03;WAGAMAN
Dingo;Dog at Large;2023-04;COCONUT GROVE
Mixed Breed;Dog at Large;2023-04;JINGILI
Mixed Breed;Dog at Large;2023-05;MALAK
Mixed Breed;Dog at Large;2023-05;LEE POINT
Shar Pei;Unregistered Dog;2023-06;TIWI
Shar Pei;Unregistered Dog;2023-07;TIWI
Dingo;Dog at Large;2023-07;MALAK
Dingo;Dog at Large;2023-07;MALAK
Cane Corso;Unregistered Dog;2023-08;LEANYER
Pointer;Unregistered Dog;2023-08;LEANYER
Pointer;Dog at Large;2023-08;LEANYER
Cane Corso;Dog at Large;2023-08;LEANYER
Bullmastiff;Dog at Large;2023-08;KARAMA
Maltese;Dog at Large;2023-08;KARAMA
Australian Terrier;Dog at Large;2023-08;ANULA
Pomeranian;No Licence to Keep Dogs as Required;2023-08;MALAK
Bullmastiff;Dog at Large;2023-08;JINGILI
Dachshund;Unregistered Dog;2023-08;JINGILI
Pit Bull Terrier;Unregistered Dog;2023-10;ANULA
Pit Bull Terrier;Fail To Contain Dog;2023-10;ANULA
Mixed Breed;Unregistered Dog;2023-10;ANULA
Mixed Breed;Dog at Large;2023-10;ANULA
Australian Bulldog;Dog at Large;2023-03;NT  0000
Kelpie;Dog Attack Level 2;2022-11;MILLNER
Dingo;Dog in a Restricted Area;2023-02;COCONUT GROVE
Pit Bull Terrier;Fail To Comply - Conditions Registration;2023-02;ANULA
Mixed Breed;Unregistered Dog;2022-11;JINGILI
Bull Arab;Unregistered Dog;2022-10;NAKARA
Pomeranian;Unregistered Dog;2023-06;\N
Chihuahua;Unregistered Dog;2023-03;TIWI
Bull Terrier;Dog Attack - Aggravated;2025-09;NIGHTCLIFF
Bull Terrier;Fail To Contain Dog;2025-09;NIGHTCLIFF
Poodle;Fail To Contain Dog;2025-06;LEANYER
Staffordshire Bull Terrier;Dog Attack - Contact;2025-06;LEANYER
Pit Bull Terrier;Fail To Contain Dog;2025-06;KARAMA
Shar Pei;Fail To Contain Dog;2025-06;LEANYER
Boxer;Unregistered Dog;2025-02;MOIL
Staffordshire Bull Terrier;Fail To Contain Dog;2025-01;WINNELLIE
Rottweiler;Fail To Contain Dog;2025-01;MALAK
Rottweiler;Fail To Contain Dog;2025-01;MALAK
Pit Bull Terrier;Unregistered Dog;2025-02;MALAK
Unknown;Unregistered Dog;2025-01;MILLNER
Pit Bull Terrier;Fail To Contain Dog;2025-01;WANGURI
Husky;Fail To Contain Dog;2025-01;BERRIMAH
Chihuahua;Unregistered Dog;2025-06;NAKARA
Golden Retriever;Fail To Contain Dog;2025-09;LEANYER
English Staffordshire Bull Terrier;Dog Not Under Effective Control;2025-03;NAKARA
American Staffordshire Terrier;Unregistered Dog;2025-01;LEANYER
Heeler;Fail To Contain Dog;2025-01;LARRAKEYAH
Mixed Breed;Dog Attack - Serious;2024-11;NIGHTCLIFF
Boxer;Dog Attack - Serious;2024-11;ANULA
Boxer;Unregistered Dog;2024-11;ANULA
Chihuahua;Dog Attack - Contact;2024-12;STUART PARK
Pit Bull Terrier;Unregistered Dog;2025-03;KARAMA
Pit Bull Terrier;Fail To Contain Dog;2025-03;LEANYER
Staffordshire Bull Terrier;Fail To Contain Dog;2024-12;FANNIE BAY
Great Dane;Fail To Comply Conditions Dangerous Dog;2025-08;KARAMA
Border Collie;Fail To Comply Conditions Dangerous Dog;2025-08;ALAWA
Pit Bull Terrier;Fail To Comply Conditions Dangerous Dog;2025-08;KARAMA
German Shepherd Dog;Dog Menace;2025-10;MOIL
Staffordshire Bull Terrier;Dog Attack - Aggravated;2025-08;WANGURI
Great Dane;Dog Attack - Serious;2025-08;MALAK
Mixed Breed;Fail To Comply Conditions Dangerous Dog;2024-11;MALAK
Australian Cattle Dog;Fail To Comply Conditions Dangerous Dog;2024-11;MALAK
Staffordshire Bull Terrier;Fail To Contain Dog;2025-07;JINGILI
Dachshund;Dog Attack - Serious;2025-08;ANALA
Pit Bull Terrier;Fail To Contain Dog;2025-08;THE NARROWS
Unknown;Unregistered Dog;2025-02;KARAMA
Poodle;Unregistered Dog;2025-04;NIGHTCLIFF
Rottweiler;Exceed Number Of Dogs Allowed;2025-04;NAKARA
Staffordshire Bull Terrier;Dog Menace;2025-08;MOIL
Cross Breed;Fail To Contain Dog;2025-08;WULAGI
Jack Russell Terrier;Fail To Contain Dog;2025-06;STUART PARK
Shar Pei;Fail To Comply Conditions Dangerous Dog;2025-03;WULAGI
Great Dane;Fail To Comply Conditions Dangerous Dog;2025-03;KARAMA
Wolfhound;Fail To Comply Conditions Dangerous Dog;2025-03;LARRAKEYAH
German Shepherd Dog;Fail To Contain Dog;2025-03;PARAP
Bull Arab;Dog Menace;2025-02;NAKARA
Bull Arab;Fail To Contain Dog;2025-02;NAKARA
Staffordshire Bull Terrier;Fail To Contain Dog;2024-11;NIGHTCLIFF
American Staffordshire Terrier;Dog Attack - Serious;2025-06;LARRAKEYAH
Bullmastiff;Unregistered Dog;2025-07;WULAGI
Pit Bull Terrier;Unregistered Dog;2025-07;WULAGI
Catahoula;Fail To Contain Dog;2025-05;WULAGI
Pit Bull Terrier;Dog Attack - Aggravated;2025-05;WULAGI
Cross Breed;Unregistered Dog;2024-11;MALAK
Staffordshire Bull Terrier;Unregistered Dog;2024-11;RAPID CREEK
Bullmastiff;Fail To Contain Dog;2024-12;KARAMA
Bull Arab;Unregistered Dog;2025-01;ANULA
Kelpie;Fail To Contain Dog;2025-02;FANNIE BAY
Maltese;Fail To Contain Dog;2025-07;WANGURI
Staffordshire Bull Terrier;Fail To Contain Dog;2025-12;MALAK
Irish Wolfhound;Fail To Contain Dog;2025-11;NAKARA
Catahoula;Fail To Contain Dog;2025-03;LEANYER
Chihuahua;Unregistered Dog;2025-04;JINGILI
Pit Bull Terrier;Fail To Comply Conditions  Registration;2025-04;MILLNER
Pit Bull Terrier;Fail To Contain Dog;2025-04;MILLNER
Kelpie;Fail To Contain Dog;2025-04;TIWI
American Staffordshire Terrier;Dog Not Under Effective Control;2025-05;STUART PARK
Kelpie;Unregistered Dog;2025-11;KARAMA
Blue Heeler;Fail To Contain Dog;2025-10;MOIL
