organisation_event;financial_year;grant_type;initiative;cash;in_kind_support;total
Mayala-Bol;24/25;Reconciliation;Community Engagement Program NAIDOC Week – Blak History, resilience and joy at Browns Mart;9061;0;9061
MCNT;24/25;Sponsorships;Homework club;0;950;950
Media Entertainment & Arts Alliance;21/22;Sponsorships;;1600;0;1600
Media Entertainment & Arts Alliance;22/23;Sponsorships;2022 NT Media Awards Best News Television/Radio Best News Coverage;1600;0;1600
Melaleuca Australia;21/22;Community Grant;Kushone Collective – Men Sewing and Sharing;9400;0;9400
Mission Australia;21/22;Community Grant;School Holiday Activity Equipment and Excursion Costs;3979;0;3979
Miyartiwi Dreaming;21/22;Community Grant;Makeup Skills & Empowerment Workshop for Young Women;5000;0;5000
Moogie Down Productions;21/22;Community Grant;Busking in Darwin Project;2000;0;2000
Movement and Mindset Coaching;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Mindful Movement with Marina;0;40;40
Multicultural Multigenerational Mainstream Dance;23/24;Community Grant;Darwin K-pop Random Dance 50;5000;0;5000
Nature’s Flow;19/20;Community Grant;Disabilities Yoga;2340;0;2340
Nepalese Association of Northern Territory Incorporated;19/20;COVID-19 Community Grant;Emergency support to members of Nepalese community of Darwin severely affected by COVID-19;4000;0;4000
Nightcliff Arts Music and Culture Inc;21/22;Sponsorships;;10000;1000;11000
Nightcliff Arts Music and Culture Inc;19/20;COVID-19 Community Grant;Nightcliff Seabreeze Festival 2020 @ Home;3500;0;3500
Nightcliff Seabreeze Festival;20/21;Sponsorships;;25000;0;25000
Northern Centre for Contemporary Art;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Digital Adaptation of “Portrait of a Teenage”;4100;0;4100
Northern Territory Indigenous Business Network;23/24;Sponsorships;The 11th Aboriginal Economic Development Forum;5000;0;5000
Northern Territory Multiple Births Club;22/23;Community Grant;NTMBC will be hosting a celebration event for Multiple Birth Awareness Week 2023 with food, facepainting, circus workshops and activities as part of a national campaign to raise awareness around, and draw attention to, the unique realities for multiple birth families in Australia – and how advocacy, positive education and engaged communities can contribute to enabling positive health outcomes for families with multiples.;1227;60;1287
NT Major Events – Tropical Light Bruce Munro Exhibition;19/20;Sponsorships;;5000;0;5000
NT Thai Association;24/25;Sponsorships;Thailand Grand Festival NT;2000;0;2000
NT Writers Centre;23/24;Sponsorships;2024 NT Writers’ Festival;10000;50;10050
NT Writers Centre;20/21;Community Grant;Graphic Novel Club Project;5500;0;5500
NT Writers Centre;20/21;Community Grant;Not Your Average Online Book Club;5760;0;5760
NTHAC (Northern Territory Aids and Hepatitis Council);24/25;Community Grant;Eat, Indulge, Connect: a series of supported social events for women living with HIV to connect over a meal, that aims to address some of the unique challenges faced by this community;5044;0;5044
PAWS Darwin;21/22;Operational Subsidy;;30000;0;30000
Planning Institute of Australia;24/25;Sponsorships;Northern Territory Awards for Excellence;909;0;909
Royal Australian Artillery Association (NT) Inc.;19/20;Environmental Grant;Landscaping of Gun Embankment;4200;0;4200
Royal Life Saving Australia NT Branch Inc;22/23;Sponsorships;Pipes and Drains;6000;0;6000
RSL Darwin Sub-Branch;21/22;Operational Subsidy;;28000;7000;35000
RSPCA Darwin Regional Branch;21/22;Operational Subsidy;;120000;0;120000
RSPCA Darwin Regional Branch;22/23;Operational Subsidy;;120000;0;120000
Sea Shepherd Darwin;24/25;Sponsorships;Sea Shepherd beach clean-up and merchandise selling;0;61;61
Shaun Francis;24/25;Reconciliation;NAIDOC Week mural celebrating dual Nichols Medallist Ted Cooper at Wanderers Football Club;4545;0;4545
Skippers at Dundee Pty Ltd;23/24;Sponsorships;City of Darwin Skippers Cotton Cup;10000;0;10000
