meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2019-07-16;Action Reports;Submission to the draft Local Government Bill consultation;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-07-16;Action Reports;Access and Inclusion Advisory Committee Meeting Minutes 2 July 2019;Community;Action Required
Ordinary Council;2019-07-16;Receive and Note Reports;Confirmation of executive committee meeting minutes - 2018;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-07-16;Receive and Note Reports;Incoming Correspondence from the Member for Sanderson - Velodrome Upgrade;Community;Receive & Note
Ordinary Council;2019-07-30;Receive and Note Reports;Quarterly On Street - Off Street parking statistics - April to June 2019;Innovation;Receive & Note
Ordinary Council;2019-08-27;Action Reports;Review of Policy No.065 Sponsorship;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-08-27;Action Reports;Gardens Park Lake Rehabilitation Works;Engineering & City Services;Action Required
Ordinary Council;2019-08-27;Action Reports;Cat Management Approach- Lee Point;Community;Action Required
Ordinary Council;2019-08-27;Action Reports;Concept Brief: THRIVE Public Art Projects 2019-2023;Community;Action Required
Ordinary Council;2019-08-27;Receive and Note Reports;Public Lighting - Maintenance Service Performance;Innovation;Receive & Note
Ordinary Council;2019-09-24;Action Reports;Reaching South Program;Innovation;Action Required
Ordinary Council;2019-09-24;Action Reports;Appointment of Elected Members to the Development Consent Authority Advisory Committee;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-09-24;Action Reports;Review of Investment Policy No. 24;Corporate;Action Required
Ordinary Council;2019-09-24;Receive and Note Reports;MONTHLY FINANCIAL REPORT - AUGUST 2019;Corporate;Receive & Note
Ordinary Council;2019-09-24;Receive and Note Reports;Municipal Plan 2019/20 - Monthly Performance Report August 2019;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-10-15;Action Reports;Appointment of Elected Members to the Development Consent Authority Advisory Committee;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-15;Receive and Note Reports;Minutes of the Risk Management & Audit Committee Meeting held on 30 August 2019;Corporate;Receive & Note
Ordinary Council;2019-10-15;Receive and Note Reports;MONTHLY FINANCIAL REPORT - AUGUST 2019;Corporate;Receive & Note
Ordinary Council;2019-10-15;Receive and Note Reports;Invitation to join Arafura Games 2021 Advisory Committee;Innovation;Receive & Note
Ordinary Council;2019-10-15;Receive and Note Reports;Minutes of the Bombing of Darwin and Military History Advisory Committee 14 August 2019;Community;Receive & Note
Ordinary Council;2019-10-29;Action Reports;Darwin Cenotaph Renewal;Engineering & City Services;Action Required
Ordinary Council;2019-12-11;Action Reports;Black Spot Program 2020/2021 Nominations;Engineering & City Services;Action Required
Ordinary Council;2019-12-11;Action Reports;Bombing of Darwin and Military History Advisory Committee Minutes - Bicentennial Park Area 1;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-12-11;Action Reports;2018/19 City of Darwin Annual Report;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-12-11;Receive and Note Reports;Minister’s Advisory Council on Multicultural Affairs Resolution;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-12-11;Receive and Note Reports;Minutes of Youth Advisory Committee - 24 October 2019;Community;Receive & Note
Ordinary Council;2019-12-11;Receive and Note Reports;Quarterly On Street - Off Street parking statistics - July to September 2019;Innovation;Receive & Note
Ordinary Council;2019-11-26;Action Reports;Proposal for No Dog Signage at Playgrounds;Community;Action Required
Ordinary Council;2019-11-26;Action Reports;Community Grants Program Round 2 - 2019/20;Community;Action Required
Ordinary Council;2019-11-26;Action Reports;Stage 3 Planning Reform;Innovation;Action Required
Ordinary Council;2019-11-26;Action Reports;Appointment of Elected Member to the Reconciliation Action Plan Working Group;Community;Action Required
Ordinary Council;2019-11-26;Receive and Note Reports;2019 Monthly Financial Report - October 2019 Monthly;Corporate;Receive & Note
Ordinary Council;2019-10-12;Notices of Motion;Notice of Motion - Tree Planting Priorities;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2019-10-12;Action Reports;Traffic Study and Road Safety Audit in Response to Velodrome Precinct Proposals;Engineering & City Services;Action Required
Ordinary Council;2019-10-12;Action Reports;Planning Scheme Amendment - Lot 6907 & 6908 (25 & 16) Blake Street, The Gardens, from Zone CP (Community Purpose) to Zone SU (Specific Use Zone);Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;Planning Scheme Amendment - Lot 9077 (47) Progress Drive, Nightcliff - Rezoning from Zone MR (Medium Density Residential) to a Specific Use Zone;Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;2019/20 Constitutional Arrangements Review (Electoral Representation Review - S23 Local Government Act);Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-12;Action Reports;Licensed Outdoor Dining Fees;Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;By-Election Lyons Ward - 29 February 2020;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-12;Receive and Note Reports;Minutes of the Risk Management and Audit Committee Meeting Held 29 October 2019;Corporate;Receive & Note
Ordinary Council;2019-10-12;Receive and Note Reports;Jingili Regional Playground Consultation Report;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-10-12;Information Item;Incoming Correspondence;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2020-11-02;Receive and Note Reports;Quarterly On Street - Off Street parking statistics - October to December 2020;Innovation;Receive & Note
Ordinary Council;2020-02-25;Action Reports;Revised Municipal Busking Conditions;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-02-25;Receive and Note Reports;Monthly Financial Report - January 2020;Corporate;Receive & Note
Ordinary Council;2020-02-25;Receive and Note Reports;New Lord Mayoral Robes;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2020-03-31;Lord Mayoral Minute;Lord Mayoral Minute - Condolence Motion;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2020-03-31;Lord Mayoral Minute;Lord Mayoral Minute - Coronavirus (COVID - 19) - Council Response #2;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2020-03-31;Action Reports;City of Darwin Submission into the Senate Enquiry into Homelessness;Community;Action Required
Ordinary Council;2020-03-31;Action Reports;By-Election Lyons Ward - Northern Territory Electoral Commission Report;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-03-31;Action Reports;Deputy Lord Mayor;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-03-31;Receive and Note Reports;City of Darwin and Northern Territory Government Security Patrol Partnership;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2020-08-04;Lord Mayoral Minute;Lord Mayoral Minute - Coronavirus (COVID - 19) - Council Response #2;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2020-04-14;Information Item;Correspondence received;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2020-04-28;Action Reports;City of Darwin Sponsorship Program – Coronavirus (COVID-19) Response;Innovation;Action Required
Ordinary Council;2020-04-28;Receive and Note Reports;Unconfirmed Minutes of the Risk Management and Audit Committee Meeting Held 27 March 2020;Corporate;Receive & Note
Ordinary Council;2020-12-05;Notices of Motion;Notice of Motion - Disability Parking Bays;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-12-05;Action Reports;Youth Advisory Committee 9 April 2020 - Endorsement of New Member;Community;Action Required
Ordinary Council;2020-12-05;Receive and Note Reports;Unconfirmed Minutes Youth Advsory Committee Meeting 9 April 2020;Community;Receive & Note
Ordinary Council;2020-05-26;Action Reports;Financial Hardship Support Policy;Corporate;Action Required
Ordinary Council;2020-05-26;Action Reports;2019/20 Constitutional Arrangements Review (Electoral Representation Review - S23 Local Government Act);Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-05-26;Receive and Note Reports;Green Army Update - May 2020;Engineering & City Services;Receive & Note
Ordinary Council;2020-06-16;Notices of Motion;Notice of Motion - East Point Reserve Advisory Committee;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-06-30;Lord Mayoral Minute;Lord Mayoral Minute - My Darwin Initiative;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2020-06-30;Receive and Note Reports;Monthly Financial Report - May 2020;Corporate;Standard Report
Ordinary Council;2020-07-14;Notices of Motion;Notice of Motion - Dog Park in Darwin City;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-08-25;Receive and Note Reports;Monthly Financial Report - July 2020;Corporate;Standard Report
Ordinary Council;2020-08-25;Information Item;Incoming Correspondence;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2020-09-15;Action Reports;Grant Acquittals 2019/20 - Department of Local Government and Community Development;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2020-09-29;Notices of Motion;Notice of Motion - Review of Council Policy 043 to include a Blessing;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-09-29;Action Reports;Carry Forward Budget 2019-2020 and Reserve Balances as at 30 June 2020;Corporate;Standard Report
Ordinary Council;2020-09-29;Receive and Note Reports;Council's Municipal Wards COVID-19 Stimulus Program;Engineering & City Services;Standard Report
Ordinary Council;2020-10-13;Receive and Note Reports;Ethical Implementation of Smart City Technology;Innovation;Standard Report
Ordinary Council;2020-10-27;Action Reports;Review of Policy No. 006 - Environment - General;Engineering & City Services;Standard Report
Ordinary Council;2020-10-27;Action Reports;Adoption City of Darwin Long Term Financial Plan;Corporate;Standard Report
Ordinary Council;2020-10-27;Receive and Note Reports;Monthly Financial Report - September 2020;Corporate;Standard Report
Ordinary Council;2020-10-27;Information Item;Incoming Correspondence;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2020-10-11;Receive and Note Reports;2020/21 September Quarter Capital Works Program Update;Engineering & City Services;Standard Report
Ordinary Council;2020-11-24;Action Reports;Westlane Arcade Activation;Innovation;Standard Report
Ordinary Council;2020-11-24;Information Item;Incoming Corespondence;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2020-08-12;Notices of Motion;Notice of Motion - Karama Country Music Muster July 2021;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-09-02;Receive and Note Reports;Monthly Financial Report - November 2020;Corporate;Standard Report
Ordinary Council;2021-09-02;Receive and Note Reports;Darwin Military and Civilian History Advisory Committee Minutes - 9 December 2020;Community;Standard Report
Ordinary Council;2021-09-02;Receive and Note Reports;International Relations Advisory Committee Meeting Minutes - 18 November 2020;Innovation;Standard Report
Ordinary Council;2021-02-23;Receive and Note Reports;Monthly Financial Report - January 2021;Corporate;Standard Report
Ordinary Council;2021-03-16;Notices of Motion;Notice of Motion - Report into the Installation of Web Cameras at Specific Locations along the Darwin Coastline;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-03-16;Notices of Motion;Notice of Motion - Electric Vehicles (EV);Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-03-16;Action Reports;Roads to Recovery - 2020/21 Project Request for Ross Smith Avenue;Engineering & City Services;Standard Report
Ordinary Council;2021-03-16;Action Reports;East Point Reserve Advisory Committee - Endorsement of Terms of Reference;Engineering & City Services;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;Sister City Committee Confirmed Minutes of 28 October 2020 and Unconfirmed Minutes of 11 February 2021;Innovation;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;Arts and Cultural Development Advisory Committee Minutes - 16 February 2021;Community;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;Access and Inclusion Advisory Committee Minutes - 4 February 2021;Community;Standard Report
Ordinary Council;2021-03-30;Notices of Motion;Notice of Motion - Red Tape Reduction;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-03-30;Action Reports;Rescinding of Council Policies 021, 059, 068, 077 and 086;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-30;Action Reports;Proposed Nakara Oval Masterplan;Community;Standard Report
Ordinary Council;2021-03-30;Action Reports;Gardens Oval Lighting Levels;Community;Standard Report
Ordinary Council;2021-03-30;Receive and Note Reports;Commercial Rates Replenishment Program 2020/21;Corporate;Standard Report
Ordinary Council;2021-03-30;Receive and Note Reports;Access and Inclusion Advisory Committee Minutes - 4 March 2021;Community;Standard Report
Ordinary Council;2021-04-13;Action Reports;Social Budget Initiatives;Community;Standard Report
Ordinary Council;2021-04-13;Action Reports;Northern Territory Planning Commission - Designing Better Stage Two Consultation;Innovation;Standard Report
Ordinary Council;2021-04-13;Action Reports;Elected Member Allowances 2021/22;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-04-27;Action Reports;Nightcliff Cricket Club Storage Shed Proposal;Community;Standard Report
Ordinary Council;2021-04-27;Action Reports;Proposed Disposal of Karama Walkways;Innovation;Standard Report
Ordinary Council;2021-04-27;Receive and Note Reports;Monthly Financial Report - March 2021;Corporate;Standard Report
Ordinary Council;2021-11-05;Action Reports;Letter of Intent of Sister City Relationship Between Darwin and Denpasar;Innovation;Standard Report
Ordinary Council;2021-11-05;Receive and Note Reports;Sister City Advisory Committee Minutes - 15 April 2021;Innovation;Standard Report
Ordinary Council;2021-11-05;Receive and Note Reports;International Relations Advisory Committee Minutes - 24 February 2021 and 29 April 2021;Innovation;Standard Report
Ordinary Council;2021-11-05;Receive and Note Reports;City of Darwin Click and Fix App to Include Health and Well-Being Information;Innovation;Standard Report
Ordinary Council;2021-05-25;Receive and Note Reports;Access and Inclusion Advisory Committee Minutes - 6 May 2021;Community;Standard Report
Ordinary Council;2021-05-25;Receive and Note Reports;Arts and Cultural Development Advisory Committee Minutes - 13 April 2021;Community;Standard Report
Ordinary Council;2021-07-13;Action Reports;School Bookings on Council Ovals;Community;Standard Report
Ordinary Council;2021-07-13;Action Reports;Advocacy & Partnerships Strategy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Action Reports;Searcy Street Road Widening and Woolworths Access;Engineering & City Services;Standard Report
Ordinary Council;2021-07-13;Action Reports;Review of the Local Government (General) Regulations 2021 - Municipal Parking Rate;Innovation;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Monthly Financial Report - May 2021;Corporate;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;2021 National General Assembly (NGA) - Motions;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-27;Action Reports;Youth Advisory Committee - Recommendation to Provide Matched Funding for Fundraising Initiatives;Community;Standard Report
Ordinary Council;2021-07-27;Action Reports;Review of Policy No. 086 – Open Data;Innovation;Standard Report
Ordinary Council;2021-07-27;Action Reports;2030 Greening Darwin Strategy;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Action Reports;2030 Waste and Resource Recovery Strategy;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Action Reports;Rescinding of Policy No. 054 - Waste Management;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Action Reports;Appointments to Activate Darwin Board;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Sister City Advisory Committee Meeting - 15 July 2021;Innovation;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;International Relations Advisory Committee Meeting - 7 July 2021;Innovation;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Capital Funding Agreement to Faciliate Works Within City of Darwin Municipality and Pedestrian Access Improvement Works Along Nightcliff Road;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;City of Darwin - Quarterly Performance Report – June 2021 (Q4);Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-08;Lord Mayoral Minute;Lord Mayoral Minute - Allocation of Emergency Stimulus Funding;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2021-09-28;Action Reports;23rd Council of the City of Darwin - Casting Vote;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-28;Action Reports;23rd Council of the City of Darwin - Meeting Schedule;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-28;Action Reports;CEO (Chief Executive Officer) Code of Conduct - 100 Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-28;Receive and Note Reports;Monthly Financial Report - August 2021;Corporate;Standard Report
Ordinary Council;2021-12-10;Action Reports;Walkway Community Consultation Outcome - Walkway 187 Kapool Crescent to Mueller Road, Malak;Community;Standard Report
Ordinary Council;2021-12-10;Action Reports;Carry Forward Budget 2020-2021 and Reserve Balances as at 30 June 2021;Corporate;Standard Report
Ordinary Council;2021-12-10;Action Reports;Grant Acquittals - 2020/21 - Department of Chief Minister and Cabinet - Local Government and Regional Development;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-10-26;Receive and Note Reports;Youth Quick Response Grant Program;Community;Standard Report
Ordinary Council;2021-10-26;Receive and Note Reports;Monthly Financial Report -September 2021;Corporate;Standard Report
Ordinary Council;2021-10-26;Receive and Note Reports;Tree Removals in Multiple Locations;Engineering & City Services;Standard Report
Ordinary Council;2021-10-26;Information Item;Incoming Correspondence - Deputy Prime Minister - Building Better Regions Fund (BBRF);Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-11-16;Action Reports;2030 Movement Strategy;Innovation;Standard Report
Ordinary Council;2021-11-16;Receive and Note Reports;Sister City Advisory Committee Meeting - 21 October 2021;Innovation;Standard Report
Ordinary Council;2021-11-16;Receive and Note Reports;International Relations Advisory Committee Meeting - 27 October 2021;Innovation;Standard Report
Ordinary Council;2021-11-30;Action Reports;Review of Policy 024 - Investment Policy;Corporate;Standard Report
Ordinary Council;2021-11-30;Action Reports;Parkside Estate Berrimah - Place Names Application;Innovation;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Play and Active Recreation Space Strategy Update;Community;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Quarterly Performance Report - September 2021 (Q1);Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-12;Action Reports;1st Budget Review 2021/2022;Corporate;Standard Report
Ordinary Council;2021-07-12;Information Item;Incoming Correspondence - Department of the Attorney-General and Justice - Regarding the Community Justice Centre 2021 Review;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-07-12;Information Item;Incoming Correspondence - Minister for Infrastructure, Planning and Logistics - Regarding Appointments to the Development Consent Authority;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-01-02;Receive and Note Reports;7 Seasons 7 Senses Incubator Program;Innovation;Standard Report
Ordinary Council;2022-01-02;Receive and Note Reports;Sister City Committee Unconfirmed Minutes - 13 January 2022;Innovation;Standard Report
Ordinary Council;2022-01-02;Information Item;Incoming Correspondence - Minister for Local Government - Immediate Priority Grants - Successful Application;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-01-02;Information Item;Incoming Correspondence - Government Gazette - Darwin General Cemetery;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-02-22;Receive and Note Reports;Quarterly Performance Report: October - December 2021 (Q2);Corporate;Standard Report
Ordinary Council;2022-02-22;Information Item;Acting Deputy Lord Mayor;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-03-15;Information Item;Masterplan Regarding the Development at 8 Cavenagh Street Darwin;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-03-29;Action Reports;Rainbow Marking Retention;Corporate;Standard Report
Ordinary Council;2022-03-29;Action Reports;2nd Budget Review 2021/2022;Corporate;Standard Report
Ordinary Council;2022-12-04;Action Reports;Elected Member Allowances 2022/23;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-12-04;Action Reports;Review of Investment Policy 0024.100.E.R;Corporate;Standard Report
Ordinary Council;2022-04-26;Notices of Motion;Notice of Motion - Nakara Oval Masterplan;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-04-26;Notices of Motion;Notice of Motion - Power Undergrounding Progress;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-04-26;Action Reports;Review of Privacy Policy;Corporate;Standard Report
Ordinary Council;2022-04-26;Action Reports;Darwin Oval Carpark;Innovation;Standard Report
Ordinary Council;2022-04-26;Receive and Note Reports;Community Advisory Committee Minutes;Community;Standard Report
Ordinary Council;2022-04-26;Receive and Note Reports;Reconciliation Action Advisory Committee;Community;Standard Report
Ordinary Council;2022-05-17;Action Reports;Review of Borrowing Policy 0023.100.E.R;Corporate;Standard Report
Ordinary Council;2022-05-17;Action Reports;Draft Bagot Park Master Plan;Community;Standard Report
Ordinary Council;2022-05-17;Information Item;Incoming Correspondence - Department of Territory Families, Housing and Communities - Management Transfer of Public Housing Tenancies to Community Housing Providers;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-05-31;Receive and Note Reports;Ongoing City-Wide Issues of Speeding/Hooning;Innovation;Standard Report
Ordinary Council;2022-06-14;Action Reports;Nominated Projects for Local Roads and Community Infrastructure Phase 3 Funding;Corporate;Standard Report
Ordinary Council;2022-06-14;Action Reports;Reconciliation Advisory Committee Terms of Reference;Community;Standard Report
Ordinary Council;2022-06-14;Action Reports;Adoption of Confidential Information and Business Policy;Corporate;Standard Report
Ordinary Council;2022-06-14;Receive and Note Reports;Senior Programs;Community;Standard Report
Ordinary Council;2022-06-28;Action Reports;Place Name Application - Naming of Two Roads & One Park - Lot 4106 (1) Boulter Road - Mirawood Berrimah;Innovation;Standard Report
Ordinary Council;2022-06-28;Action Reports;Tree Advisory Committee - Terms of Reference;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-06-28;Receive and Note Reports;Street Food Program 2022/2023 Update;Innovation;Standard Report
Ordinary Council;2022-12-07;Action Reports;CEO Allowances and Other Benefits Policy;Corporate;Standard Report
Ordinary Council;2022-12-07;Action Reports;Acquittal of Energy Efficiency and Sustainability Grant 2018-19;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-12-07;Receive and Note Reports;Community Advisory Committee Minutes;Community;Standard Report
Ordinary Council;2022-12-07;Information Item;Outgoing and Incoming Correspondence - Waste Management Issues Advocacy;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-07-26;Action Reports;Bagot Park Master Plan;Community;Standard Report
Ordinary Council;2022-07-26;Receive and Note Reports;Interim Monthly Financial Report - June 2022;Corporate;Standard Report
Ordinary Council;2022-07-26;Receive and Note Reports;Unconfirmed Open Minutes - Risk Management and Audit Committee (RMAC) -  17 June 2022;Corporate;Standard Report
Ordinary Council;2022-07-26;Information Item;Incoming Correspondence - Australian Local Government Association - Motion Submitted to 2022 National General Assembly of Local Government;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-08-16;Action Reports;Northern Territory Trade Mission to Timor-Leste 2022;Innovation;Standard Report
