meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2019-08-27;Receive and Note Reports;Arts and Cultural Development Advisory Committee Meeting Minutes 30 July 2019;Community;Receive & Note
Ordinary Council;2019-08-27;Receive and Note Reports;Municipal Plan 2019/20 - Monthly Performance Report July 2019;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-08-27;Receive and Note Reports;MONTHLY FINANCIAL REPORT - JULY 2019;Corporate;Receive & Note
Ordinary Council;2019-10-09;Action Reports;Review of Investment Policy No. 24;Corporate;Action Required
Ordinary Council;2019-10-09;Action Reports;Proposed Planning Scheme Amendment - Rezoning of Lot 1768 (15) Francis Street, Millner;Innovation;Action Required
Ordinary Council;2019-10-09;Action Reports;Carols by Candlelight Sponsorship;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-09;Receive and Note Reports;School Tree Planting Update - September 2019;Engineering & City Services;Receive & Note
Ordinary Council;2019-09-24;Action Reports;Carry Forward Budget Review 2018-2019 and Reserve Balances as at 30 June 2019;Corporate;Action Required
Ordinary Council;2019-09-24;Receive and Note Reports;Arts and Cultural Development Advisory Committee Meeting Minutes 3 September 2019;Community;Receive & Note
Ordinary Council;2019-10-15;Action Reports;Renewable Energy Options to Power Shoal Bay Leachate Treatment System;Engineering & City Services;Action Required
Ordinary Council;2019-10-15;Action Reports;Provision of 120L Domestic Waste Bin;Engineering & City Services;Action Required
Ordinary Council;2019-10-15;Action Reports;Parking in the CBD over Christmas 2019;Innovation;Action Required
Ordinary Council;2019-10-15;Action Reports;Darwin's Iconic Landmark - Consultation Report;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-29;Action Reports;City of Darwin Submission: NTG Climate Change Response;Community;Action Required
Ordinary Council;2019-10-29;Action Reports;Bike Plan - Implementation Plan Review;Innovation;Action Required
Ordinary Council;2019-10-29;Action Reports;Northern Territory Planning Commission - Designing Better Discussion Paper;Innovation;Action Required
Ordinary Council;2019-10-29;Action Reports;Cat Containment Policy;Community;Action Required
Ordinary Council;2019-10-29;Action Reports;City of Darwin Customer Service Standards;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-29;Receive and Note Reports;MONTHLY FINANCIAL REPORT - SEPTEMBER 2019;Corporate;Receive & Note
Ordinary Council;2019-12-11;Action Reports;Remote Area Tax Concession and Payment Study;Corporate;Action Required
Ordinary Council;2019-12-11;Action Reports;Meeting Date Schedule;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-12-11;Action Reports;Call for Nominations to the NT Grants Commission;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-11-26;Action Reports;Amendment to 2019/2020 Fees and Charges;Community;Action Required
Ordinary Council;2019-11-26;Action Reports;2018/19 Department of Local Government, Housing and Community Development Grant Acquittals (Special Purpose Grants);Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-11-26;Receive and Note Reports;Update on Obsolete Footpath Treatment;Engineering & City Services;Receive & Note
Ordinary Council;2019-10-12;Action Reports;Planning Scheme Amendment - To introduce planning policy for the regulation of sex work services;Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;Activate Darwin Sub Committee – Red Tape Regulation and Reform;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-12;Receive and Note Reports;Arts Register of Arts Peers for 2019-20 to 2021-22;Community;Receive & Note
Ordinary Council;2020-11-02;Action Reports;Shoal Bay Weighbridge Upgrade / Construction Staging Options;Engineering & City Services;Action Required
Ordinary Council;2020-02-25;Action Reports;Policy Management - 22nd Council;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-02-25;Action Reports;2nd Quarter Budget Review - 2019/2020;Corporate;Action Required
Ordinary Council;2020-03-17;Action Reports;Animal Registrations;Community;Action Required
Ordinary Council;2020-03-17;Action Reports;Sports Field Infrastructure;Community;Action Required
Ordinary Council;2020-03-17;Action Reports;Minutes Youth Advisory Committee Meeting 13 February 2020 - appointment of new members;Community;Action Required
Ordinary Council;2020-03-31;Notices of Motion;Notice of Motion - Request for Report;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-03-31;Action Reports;Communituy Grants 2020/21 COVID-19 Response;Community;Action Required
Ordinary Council;2020-03-31;Action Reports;MY DARWIN - Economic Stimulus Proposal;Innovation;Action Required
Ordinary Council;2020-08-04;Action Reports;MY DARWIN - Economic Stimulus Proposal – Coronavirus (COVID-19);Innovation;Action Required
Ordinary Council;2020-04-14;Action Reports;Draft Northern Territory Planning Scheme 2020;Innovation;Action Required
Ordinary Council;2020-04-14;Action Reports;Minutes Access and Inclusion Advisory Committee Meeting 3 March 2020;Community;Action Required
Ordinary Council;2020-04-14;Receive and Note Reports;Update on Darwin Cenotaph Upgrades - Stage 1;Engineering & City Services;Receive & Note
Ordinary Council;2020-04-28;Action Reports;Municipal Plan 2019/20 - Quarterly Performance Report - March 2020 (Q3);Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-04-28;Receive and Note Reports;City of Darwin Strategic Projects Prospectus;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2020-04-28;Receive and Note Reports;Quarterly On Street - Off Street Parking Statistics - January to March 2020;Innovation;Receive & Note
Ordinary Council;2020-04-28;Receive and Note Reports;Monthly Financial Report - March 2020;Corporate;Receive & Note
Ordinary Council;2020-12-05;Notices of Motion;Notice of Motion: Pop-up bike lane weekend trial in response to foreshore crowding;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-12-05;Action Reports;Recommendations for Funding - COVID-19 Response Grants and Community Grants Program;Community;Action Required
Ordinary Council;2020-12-05;Action Reports;Elected Member Allowances 2020/21;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-12-05;Receive and Note Reports;Cyclone Marcus 17 March 2018 - Final Costs and Settlements;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2020-05-26;Receive and Note Reports;Monthly Financial Report - April 2020;Corporate;Receive & Note
Ordinary Council;2020-06-16;Notices of Motion;Notice of Motion - Laneway Closure;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-06-16;Action Reports;Access and Inclusion Advisory Committee Budget Recommendations;Community;Standard Report
Ordinary Council;2020-06-30;Action Reports;Jingili Playground Redevelopment - Update June 2020;Engineering & City Services;Standard Report
Ordinary Council;2020-06-30;Action Reports;3rd Budget Review - 2019/2020;Corporate;Standard Report
Ordinary Council;2020-07-28;Notices of Motion;Notice of Motion - Funding of Services;Office of the Lord Mayor and CEO;Notice of Motion
