abs_lga;suburb;census_year;state;category;sub_category;speaks_english_only;very_well_or_well;not_well_or_not_at_all;total_1;not_stated_b;total_2
Darwin;Larrakeyah;2016;Northern Territory;;Japanese;;7.0;3.0;7.0;0.0;7.0
Darwin;Larrakeyah;2016;Northern Territory;;Vietnamese;;18.0;6.0;16.0;0.0;16.0
Darwin;Leanyer;2016;Northern Territory;Indo-Aryan languages;Hindi;;25.0;0.0;27.0;0.0;27.0
Darwin;Lee Point;2016;Northern Territory;;Australian Indigenous Languages;;0.0;0.0;0.0;0.0;0.0
Darwin;Ludmilla;2016;Northern Territory;Chinese languages;Mandarin;;10.0;0.0;8.0;0.0;8.0
Darwin;Ludmilla;2016;Northern Territory;;Other(f);;17.0;4.0;21.0;0.0;21.0
Darwin;Lyons (NT);2016;Northern Territory;;Arabic;;0.0;0.0;0.0;0.0;0.0
Darwin;Lyons (NT);2016;Northern Territory;;Greek;;128.0;13.0;139.0;0.0;139.0
Darwin;Lyons (NT);2016;Northern Territory;Indo-Aryan languages;Hindi;;10.0;0.0;13.0;0.0;13.0
Darwin;Malak;2016;Northern Territory;;Vietnamese;;21.0;7.0;23.0;0.0;23.0
Darwin;Marrara;2016;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;6.0;0.0;9.0;0.0;9.0
Darwin;Millner;2016;Northern Territory;Indo-Aryan languages;Hindi;;20.0;0.0;23.0;0.0;23.0
