abs_lga;census_year;suburb;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2016;Coonawarra (NT);Northern Territory;Myanmar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;Malta;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;South Africa;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Eaton (NT);Northern Territory;Australia(b);4.0;11.0;34.0;93.0;17.0;3.0;3.0;0.0;0.0;170.0
Darwin;2016;Eaton (NT);Northern Territory;Taiwan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Eaton (NT);Northern Territory;Thailand;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Fannie Bay;Northern Territory;China (excludes SARs and Taiwan)(c);0.0;0.0;3.0;3.0;3.0;0.0;3.0;3.0;0.0;21.0
Darwin;2016;Fannie Bay;Northern Territory;Ireland;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;15.0
Darwin;2016;Fannie Bay;Northern Territory;Sri Lanka;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Jingili;Northern Territory;Egypt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Jingili;Northern Territory;England;0.0;3.0;3.0;14.0;21.0;5.0;15.0;0.0;3.0;56.0
Darwin;2016;Jingili;Northern Territory;Scotland;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;8.0
Darwin;2016;Larrakeyah;Northern Territory;Iraq;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Larrakeyah;Northern Territory;South Eastern Europe, nfd(d);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Larrakeyah;Northern Territory;Taiwan;0.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;25.0
Darwin;2016;Larrakeyah;Northern Territory;Zimbabwe;0.0;0.0;0.0;5.0;8.0;0.0;0.0;0.0;0.0;17.0
Darwin;2016;Leanyer;Northern Territory;Afghanistan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Leanyer;Northern Territory;Wales;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
Darwin;2016;Lee Point;Northern Territory;Italy;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Lee Point;Northern Territory;Vietnam;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Ludmilla;Northern Territory;France;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Lyons (NT);Northern Territory;Mauritius;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Lyons (NT);Northern Territory;Sri Lanka;0.0;3.0;5.0;4.0;3.0;3.0;3.0;0.0;0.0;18.0
Darwin;2016;Malak;Northern Territory;Taiwan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Millner;Northern Territory;Canada;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0
Darwin;2016;Millner;Northern Territory;Northern Ireland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Millner;Northern Territory;Papua New Guinea;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;7.0
Darwin;2016;Moil;Northern Territory;Bosnia and Herzegovina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Moil;Northern Territory;France;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0
Darwin;2016;Moil;Northern Territory;Pakistan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Muirhead;Northern Territory;Iraq;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
