animal_name;animal_sex;animal_type;animal_neut;main_breed;second_breed;main_color;second_color;suburb_name
Bella;F;Dog;Y;Mixed Breed;;Tan;;MALAK
Winx;F;Dog;N;Jack Russell Terrier;;White;Tan;KARAMA
Sasha;F;Dog;Y;Maltese;Poodle;Apricot;;KARAMA
Zelda;F;Dog;Y;Mixed Breed;;Tan;;KARAMA
Rico;M;Dog;Y;Kelpie;Cross Breed;Black;White;LEANYER
Chilli;F;Dog;Y;Bull Arab;Australian Cattle Dog;Tan;White;MOIL
Alfie;M;Dog;N;Shih Tzu;Poodle;White;;MALAK
Joan;F;Cat;Y;Domestic Short Haired;;Tortiseshell;;WULAGI
Chess;M;Dog;Y;Border Collie;;Black;White;ALAWA
Coco;F;Dog;N;Pomeranian;;Tan;;ALAWA
Rasco;M;Dog;N;Pomeranian;;Tan;;ALAWA
Louis;M;Dog;Y;Cocker Spaniel;;Gold;;NIGHTCLIFF
Boss;M;Dog;Y;German Shepherd Dog;;Black;Gold;WAGAMAN
Kiki;F;Dog;Y;Whippet;;Tan;White;ANULA
Ahri;M;Dog;N;Border Collie;;Black;White;MARRARA
Borris;M;Dog;N;Bullmastiff;Great Dane;Black;;MALAK
Stella;F;Dog;Y;West Highland White Terrier;Shih Tzu;Tri Colour;;WULAGI
Charlie;M;Cat;Y;Domestic Short Haired;;Tabby;White;ALAWA
Ginger;F;Dog;Y;Terrier;;Brown;Black;ALAWA
Tika;F;Dog;Y;Terrier;;Brown;Black;ALAWA
Shiloh;F;Dog;Y;Mixed Breed;;Tan;;ANULA
Molly;F;Dog;Y;German Shepherd Dog;;Black;Tan;KARAMA
Chase;M;Dog;Y;Pug;;Fawn;;STUART PARK
Pepper;F;Dog;Y;Poodle;Cross Breed;Black;;KARAMA
Silvie;F;Dog;Y;Kelpie;;Silver;Tan;RAPID CREEK
Espan;M;Dog;Y;Golden Retriever;;White;;PARAP
Billie;F;Dog;Y;Beagle;Cavalier King Charles Spaniel;Tri Colour;;RAPID CREEK
Pom Pom;F;Cat;Y;Domestic Medium Hair;;Grey;White;KARAMA
